MATICUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
73,1.7163,1.7504,20611848.0526205,1.7706,1.6982,1.7318,53711,2021-11-13
74,1.7504,1.7283,19329249.2541722,1.7756,1.687,1.7272,47365,2021-11-14
75,1.7283,1.6927,24149026.1524868,1.7672,1.6873,1.7252,55537,2021-11-15
76,1.693,1.5601,79894425.2596227,1.6934,1.4643,1.5833,144345,2021-11-16
77,1.5626,1.6384,55347602.0838516,1.6778,1.4893,1.5711,103339,2021-11-17
78,1.6388,1.4981,59940397.7330753,1.6805,1.4446,1.5495,109442,2021-11-18
79,1.4975,1.6208,42798852.6665626,1.6281,1.4808,1.5642,91967,2021-11-19
80,1.624,1.6668,33984730.9281703,1.6805,1.5558,1.6199,66139,2021-11-20
81,1.6668,1.5988,21192518.9856988,1.6697,1.5953,1.631,50035,2021-11-21
82,1.6,1.5593,38222722.3581271,1.6241,1.5269,1.5685,68842,2021-11-22
83,1.5592,1.7513,50583631.8437178,1.7637,1.5433,1.651,87116,2021-11-23
84,1.7513,1.6861,63840105.5874809,1.83,1.6506,1.7173,113008,2021-11-24
85,1.6849,1.9271,75856297.7537101,1.937,1.6712,1.8286,146596,2021-11-25
86,1.9271,1.6401,86189055.6091138,1.968,1.5904,1.7195,153729,2021-11-26
87,1.64,1.6136,38391458.5953896,1.7268,1.588,1.6617,68063,2021-11-27
88,1.6143,1.6539,43416995.1530478,1.6664,1.49069,1.5805,77618,2021-11-28
89,1.6525,1.8179,49395013.3646222,1.837,1.63,1.7182,92637,2021-11-29
90,1.818,1.7867,68096382.3671762,1.8802,1.6969,1.7916,121450,2021-11-30
91,1.78608,2.0069,116153957.690825,2.0959,1.7742,1.9692,206856,2021-12-01
92,2.0077,2.1232,146678878.068106,2.203,1.9511,2.0969,274539,2021-12-02
93,2.1246,2.2709,204474212.092234,2.4,2.06,2.2396,400228,2021-12-03
94,2.2695,1.9771,194022210.533152,2.3207,1.527,1.9492,332660,2021-12-04
95,1.9783,2.0544,144631831.206192,2.2029,1.8838,2.0403,231615,2021-12-05
96,2.0548,2.2781,200718234.352395,2.3287,1.70631,2.0071,296206,2021-12-06
97,2.2783,2.3469,198010767.985908,2.52,2.18,2.3597,338476,2021-12-07
98,2.3474,2.4219,143183823.931385,2.58,2.2222,2.4258,267387,2021-12-08
99,2.4219,2.0867,186491135.409673,2.45,2.0601,2.2288,316469,2021-12-09
