PLTR,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
80,35.14,35.37,66543374,36.87,34.32,35.426,359934,2021-01-26 05:00:00
81,32.97,39,172018669,45,32.25,39.2301,917616,2021-01-27 05:00:00
82,39.54,35.66,86348878,42,33.1,36.801,506599,2021-01-28 05:00:00
83,36.61,35.18,42456409,38.01,34.66,36.3088,271136,2021-01-29 05:00:00
84,35.33,33.96,43961662,35.6199,32.58,34.0556,298961,2021-02-01 05:00:00
85,34.1,31.02,70075965,34.2,30.5,31.6711,448888,2021-02-02 05:00:00
86,32.39,31.76,35857014,32.95,31.38,32.1333,226705,2021-02-03 05:00:00
87,32.58,32.05,32041915,33.18,31.05,31.9355,196457,2021-02-04 05:00:00
88,32.61,34.05,62773217,35.2,31.75,33.9053,352929,2021-02-05 05:00:00
89,37.22,36.05,73535859,39.22,35.89,37.3526,465813,2021-02-08 05:00:00
90,36.9,38.17,45120225,38.255,36.13,37.345,259598,2021-02-09 05:00:00
91,38.15,35.7,45737076,38.24,35,36.5203,337470,2021-02-10 05:00:00
92,35.79,33.11,52511539,35.98,32.61,33.9902,379599,2021-02-11 05:00:00
93,33.36,31.91,61673833,33.65,31.34,32.1515,463529,2021-02-12 05:00:00
94,30.02,27.84,182585259,30.44,27.3,28.7978,1256046,2021-02-16 05:00:00
95,27.99,27.08,152490421,29.73,27,28.4002,860927,2021-02-17 05:00:00
96,24.99,25.17,320000415,26.31,24.5,25.2994,1637293,2021-02-18 05:00:00
97,27.02,29,323218956,29.96,26.9,28.3707,1696681,2021-02-19 05:00:00
98,29.96,28,188271605,30.19,27.536,28.8305,998133,2021-02-22 05:00:00
99,25.96,26.75,147213964,27.46,23.9,26.0346,872295,2021-02-23 05:00:00
100,26.71,26.39,91436517,27.23,25.75,26.4716,528874,2021-02-24 05:00:00
101,25.82,23.96,162777267,26.44,23.15,24.6281,951630,2021-02-25 05:00:00
102,24.2,23.9,120914351,24.5,22.7,23.6888,622499,2021-02-26 05:00:00
103,25.19,24.81,86540299,25.9,24.62,25.0166,457348,2021-03-01 05:00:00
