SAM,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
86,233.37,233.45,245415,238.97,231.89,234.29,4747,2019-01-09 05:00:00
87,231.86,238.03,114361,240.41,231.86,237.7018,3132,2019-01-10 05:00:00
88,237.06,239.7,85100,241.32,236.61,239.2407,2564,2019-01-11 05:00:00
89,238.51,238.52,105567,242.15,237.84,239.4476,2103,2019-01-14 05:00:00
90,238.45,238.23,85166,240.8,237.39,238.9732,1624,2019-01-15 05:00:00
91,237.95,234.56,126140,238.57,234.47,235.5207,2031,2019-01-16 05:00:00
92,234.06,236.11,189946,236.46,232.16,234.924,2099,2019-01-17 05:00:00
93,235.72,240.9,83424,245.84,235.72,241.7447,1843,2019-01-18 05:00:00
94,240.06,242.21,135484,244.96,239.37,241.9608,2688,2019-01-22 05:00:00
95,242.45,248.96,116282,249.89,240.6038,248.0274,2359,2019-01-23 05:00:00
96,248.55,243.12,65277,253.57,241.7301,244.6855,1515,2019-01-24 05:00:00
97,244.36,248.87,84875,249.515,244.03,247.1099,1700,2019-01-25 05:00:00
98,247.37,246.85,108677,251.99,245.34,247.0035,1377,2019-01-28 05:00:00
99,246.85,244.83,109366,249.67,242.33,246.3993,1888,2019-01-29 05:00:00
100,245.96,244.18,98710,246.16,241.72,244.1673,2068,2019-01-30 05:00:00
101,244.42,249.16,113621,249.7,243.82,248.0141,1786,2019-01-31 05:00:00
102,250.65,245.92,71753,250.65,245.35,246.9995,1903,2019-02-01 05:00:00
103,246.19,244.28,70831,249.61,242.47,244.9695,1740,2019-02-04 05:00:00
104,246.5,254.67,142509,255.77,246.5,253.8848,2430,2019-02-05 05:00:00
105,253.68,251.9,90624,254.67,247.88,251.4289,1588,2019-02-06 05:00:00
106,251.18,260.25,161955,262.56,249.62,258.7403,2745,2019-02-07 05:00:00
107,259.47,264.08,153461,264.56,257.53,262.8576,2343,2019-02-08 05:00:00
108,264.48,261.65,131881,265.51,257.33,262.1497,2628,2019-02-11 05:00:00
109,262.68,268.42,127649,268.66,257.7,263.9626,2391,2019-02-12 05:00:00
110,269.64,269.32,145854,271.43,266.21,268.7656,2657,2019-02-13 05:00:00
111,267.14,270.52,105971,273.08,267.14,271.1502,2021,2019-02-14 05:00:00
112,272.93,271.35,89735,273.38,269.23,270.987,1596,2019-02-15 05:00:00
113,270.43,268.93,129925,272.19,266.4,269.7985,2491,2019-02-19 05:00:00
114,269.42,268.3,200649,274.53,266.04,270.0246,3497,2019-02-20 05:00:00
115,280.52,306.75,439074,308.83,276,301.326,6308,2019-02-21 05:00:00
116,300.66,308.7,164043,311.36,296.61,308.2474,2280,2019-02-22 05:00:00
117,307.69,304.42,137098,307.7,301.95,304.2639,2908,2019-02-25 05:00:00
118,303.17,306.35,157774,308.66,303.17,306.6344,2516,2019-02-26 05:00:00
119,307.96,305.67,110142,307.96,304.155,305.9955,1790,2019-02-27 05:00:00
120,306.07,312.56,169931,313.9,305.92,312.0332,2088,2019-02-28 05:00:00
121,314.7,304.88,139829,315,304.75,308.0158,2846,2019-03-01 05:00:00
122,306,306.96,149918,307.15,297.905,302.2628,2966,2019-03-04 05:00:00
123,306.4,309.55,100921,310.4,303.29,308.2212,2056,2019-03-05 05:00:00
124,310.39,311.74,131481,314.67,309.49,312.3807,1901,2019-03-06 05:00:00
125,312.11,312.4,117469,316.22,311.48,313.0437,2423,2019-03-07 05:00:00
126,311.76,314.08,100564,315.7633,308.58,313.3466,2272,2019-03-08 05:00:00
127,315.45,319.09,138952,320.14,314.1,318.0728,3145,2019-03-11 04:00:00
128,318.63,313.83,90306,318.63,311.4423,313.3527,2173,2019-03-12 04:00:00
129,314.54,315.94,125170,318.5,311.65,315.3596,2320,2019-03-13 04:00:00
130,315.88,307.66,120530,317.17,306.22,310.4546,3117,2019-03-14 04:00:00
131,308.57,306.62,164069,314.75,306.395,309.6296,1973,2019-03-15 04:00:00
132,304.96,312.6,178631,314.0109,304.96,311.041,2952,2019-03-18 04:00:00
133,314.38,302.36,166356,314.38,299.37,302.9915,2672,2019-03-19 04:00:00
134,301.02,298.42,127687,303.78,295.21,299.6636,2664,2019-03-20 04:00:00
135,296.3,297.16,90519,303.26,296.3,299.0113,1799,2019-03-21 04:00:00
136,295,286.04,116629,296.725,285.86,289.1887,2139,2019-03-22 04:00:00
