XRPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
83,1.037,1.06718,44966377.8225109,1.07374,1.02025,1.0477,30350,2021-11-23
84,1.067,1.0336,49533905.9978715,1.0742,1.00661,1.0311,33312,2021-11-24
85,1.03309,1.0446,46509423.1340059,1.0657,1.02238,1.0442,32041,2021-11-25
86,1.04434,0.94052,153325442.486775,1.0478,0.90404,0.9653,74246,2021-11-26
87,0.93992,0.94728,33716478.5748684,0.96717,0.934,0.9525,25629,2021-11-27
88,0.9464,0.96968,57607310.2412753,0.97,0.88268,0.9249,41722,2021-11-28
89,0.96932,0.99114,56610258.6262696,1.00305,0.96397,0.9821,35321,2021-11-29
90,0.99089,0.99904,52871361.8902692,1.03105,0.97108,0.9998,32776,2021-11-30
91,0.99995,0.9907,43040333.6688797,1.0188,0.9799,1.0042,26578,2021-12-01
92,0.9908,0.97317,37172361.9622946,0.9908,0.9559,0.9741,23737,2021-12-02
93,0.97217,0.92282,54776983.357041,0.98471,0.89197,0.9514,33676,2021-12-03
94,0.92163,0.84801,232891024.565017,0.92498,0.57504,0.7721,145881,2021-12-04
95,0.8466,0.8054,74050998.0338632,0.86421,0.76975,0.8092,47630,2021-12-05
96,0.80561,0.82671,80276993.5348439,0.83138,0.74865,0.7855,44681,2021-12-06
97,0.82649,0.8164,50146867.5379541,0.84634,0.80431,0.8291,29933,2021-12-07
98,0.81643,0.86309,57473533.6663533,0.8851,0.80419,0.8421,36284,2021-12-08
99,0.86283,0.85951,106810789.992799,0.93523,0.83201,0.8815,56598,2021-12-09
100,0.85871,0.80024,80041601.7708277,0.88329,0.7926,0.8378,47721,2021-12-10
101,0.80006,0.83959,33825593.1946078,0.84594,0.78445,0.8236,27482,2021-12-11
102,0.84025,0.84039,27966617.7377574,0.85741,0.80951,0.8316,20133,2021-12-12
103,0.84044,0.78227,67255253.2065986,0.84495,0.76123,0.8053,37899,2021-12-13
104,0.78251,0.81159,61854381.1641277,0.82225,0.77223,0.7979,35255,2021-12-14
105,0.81126,0.82675,54741290.1287974,0.84039,0.77723,0.8079,35920,2021-12-15
106,0.82652,0.80543,35219002.3398578,0.83694,0.80347,0.824,22735,2021-12-16
107,0.8053,0.79639,74494067.0597513,0.83394,0.77604,0.8075,32423,2021-12-17
108,0.79713,0.82707,24137671.5205234,0.83481,0.79124,0.8169,18931,2021-12-18
109,0.82616,0.83526,22294024.6150976,0.84963,0.81925,0.8331,17521,2021-12-19
110,0.8351,0.88002,95473292.6957166,0.9159,0.8245,0.867,52528,2021-12-20
111,0.88037,0.94713,81404347.126348,0.96129,0.85269,0.9015,46913,2021-12-21
112,0.94702,0.95451,67338027.8558282,0.97344,0.92323,0.9512,45739,2021-12-22
113,0.95433,0.9944,94164850.1308728,1.02,0.93799,0.9866,63348,2021-12-23
114,0.99481,0.91136,75837020.3695833,0.99753,0.89701,0.9499,58740,2021-12-24
115,0.91196,0.926,23679447.2438373,0.93487,0.89895,0.9221,20459,2021-12-25
116,0.92561,0.92018,14755467.2038258,0.93464,0.90556,0.9188,14506,2021-12-26
117,0.92048,0.9269,25684831.5323742,0.9564,0.91453,0.9318,22948,2021-12-27
118,0.92689,0.85163,41667227.3170945,0.92717,0.84603,0.8822,33408,2021-12-28
119,0.85184,0.8176,38932661.1625957,0.86477,0.81072,0.8409,29454,2021-12-29
120,0.8176,0.83877,38186491.1706614,0.86023,0.80226,0.8361,28334,2021-12-30
121,0.83826,0.82967,44515498.3568183,0.85403,0.8024,0.8341,28636,2021-12-31
122,0.8297,0.8504,18576737.4859055,0.85663,0.8297,0.844,14931,2022-01-01
