CELH,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
89,3.79,3.6,62518,3.95,3.6,3.6979,329,2019-01-14 05:00:00
90,3.64,3.64,73662,3.6835,3.62,3.6636,321,2019-01-15 05:00:00
91,3.62,3.62,44608,3.9216,3.61,3.6914,365,2019-01-16 05:00:00
92,3.62,3.64,79363,3.67,3.55,3.6112,769,2019-01-17 05:00:00
93,3.63,3.69,42810,3.74,3.58,3.6955,293,2019-01-18 05:00:00
94,3.69,3.67,72621,3.8,3.5,3.6058,608,2019-01-22 05:00:00
95,3.65,3.49,59072,3.7,3.45,3.5041,627,2019-01-23 05:00:00
96,3.5,3.75,65608,3.809,3.5,3.6431,532,2019-01-24 05:00:00
97,3.695,3.67,40660,3.8,3.56,3.7125,357,2019-01-25 05:00:00
98,3.61,3.65,38123,3.76,3.59,3.6738,292,2019-01-28 05:00:00
99,3.69,3.68,23068,3.7,3.55,3.6325,298,2019-01-29 05:00:00
100,3.73,3.79,41335,3.8,3.66,3.762,301,2019-01-30 05:00:00
101,3.71,4.09,121956,4.18,3.71,4.0199,427,2019-01-31 05:00:00
102,4.13,4,75487,4.13,3.95,4.042,438,2019-02-01 05:00:00
103,4.01,4.13,64365,4.1424,3.96,4.0386,409,2019-02-04 05:00:00
104,4.15,4.15,65761,4.19,4.037,4.128,369,2019-02-05 05:00:00
105,4.2,4.09,33038,4.2,4.08,4.1235,196,2019-02-06 05:00:00
106,4.08,3.9,100698,4.14,3.89,4.0683,474,2019-02-07 05:00:00
107,4.09,3.82,127124,4.09,3.7,3.8018,832,2019-02-08 05:00:00
108,3.99,3.62,59978,3.99,3.62,3.7424,462,2019-02-11 05:00:00
109,3.7992,3.55,102940,3.8,3.53,3.6285,855,2019-02-12 05:00:00
110,3.66,3.5,116243,3.85,3.5,3.5698,851,2019-02-13 05:00:00
111,3.52,3.43,98848,3.75,3.4,3.4608,676,2019-02-14 05:00:00
112,3.46,3.52,66504,3.61,3.46,3.536,508,2019-02-15 05:00:00
113,3.54,3.63,47971,3.66,3.54,3.6297,368,2019-02-19 05:00:00
114,3.63,3.57,29826,3.7378,3.56,3.627,265,2019-02-20 05:00:00
115,3.5496,3.5,35743,3.58,3.47,3.518,462,2019-02-21 05:00:00
116,3.54,3.58,27389,3.6,3.48,3.5494,263,2019-02-22 05:00:00
117,3.63,3.63,21548,3.7325,3.5781,3.6416,182,2019-02-25 05:00:00
118,3.7035,3.67,35115,3.76,3.66,3.7091,226,2019-02-26 05:00:00
119,3.7,3.72,21196,3.76,3.67,3.7192,218,2019-02-27 05:00:00
120,3.72,3.56,66372,3.72,3.515,3.5822,528,2019-02-28 05:00:00
121,3.56,3.61,48533,3.72,3.54,3.5993,404,2019-03-01 05:00:00
122,3.7,3.5,44867,3.72,3.49,3.5533,403,2019-03-04 05:00:00
123,3.55,3.53,34697,3.61,3.5,3.5497,311,2019-03-05 05:00:00
124,3.5719,3.43,48651,3.62,3.41,3.4924,393,2019-03-06 05:00:00
125,3.45,3.45,65255,3.5557,3.33,3.4387,606,2019-03-07 05:00:00
126,3.46,3.51,38107,3.6199,3.45,3.5452,287,2019-03-08 05:00:00
127,3.57,3.62,34701,3.62,3.52,3.5766,306,2019-03-11 04:00:00
128,3.62,3.71,95562,3.75,3.6,3.6614,382,2019-03-12 04:00:00
129,3.71,3.88,67610,3.88,3.68,3.7845,447,2019-03-13 04:00:00
130,3.88,3.78,121878,3.9,3.62,3.7574,517,2019-03-14 04:00:00
131,3.8,4.85,348004,4.85,3.8,4.3427,925,2019-03-15 04:00:00
132,4.46,4.99,193133,5,4.33,4.6044,974,2019-03-18 04:00:00
133,4.99,4.97,99701,5,4.8029,4.9598,515,2019-03-19 04:00:00
134,4.99,4.83,70162,4.99,4.63,4.7934,517,2019-03-20 04:00:00
135,4.85,4.78,43610,4.98,4.75,4.8198,342,2019-03-21 04:00:00
136,4.72,4.6,41537,4.8157,4.54,4.6166,336,2019-03-22 04:00:00
137,4.6,4.62,108055,4.8965,4.42,4.5499,756,2019-03-25 04:00:00
138,4.63,4.5,125946,4.8976,4.32,4.5316,959,2019-03-26 04:00:00
139,4.47,4.38,142914,4.7486,4.2,4.3459,1100,2019-03-27 04:00:00
140,4.3,4.3,260387,4.49,4.07,4.2669,1156,2019-03-28 04:00:00
141,4.36,4.26,202071,4.51,4.25,4.3374,969,2019-03-29 04:00:00
142,4.27,4.38,107430,4.44,4.24,4.3566,523,2019-04-01 04:00:00
143,4.38,4.37,31556,4.38,4.27,4.3419,233,2019-04-02 04:00:00
144,4.38,4.13,135536,4.43,3.99,4.1411,666,2019-04-03 04:00:00
145,4.2,4.22,59236,4.3,4.18,4.2296,304,2019-04-04 04:00:00
146,4.23,4.18,79962,4.3,4.13,4.2199,479,2019-04-05 04:00:00
147,4.13,4.14,35094,4.16,4.1,4.1225,239,2019-04-08 04:00:00
148,4.14,4.275,38066,4.32,4.14,4.2589,302,2019-04-09 04:00:00
149,4.29,4.42,191311,4.45,4.02,4.2394,790,2019-04-10 04:00:00
150,4.45,4.15,105568,4.45,4.11,4.2532,606,2019-04-11 04:00:00
151,4.21,4.13,189282,4.3,4.1,4.2305,1046,2019-04-12 04:00:00
152,4.14,3.94,133912,4.18,3.82,3.9426,663,2019-04-15 04:00:00
153,3.88,3.9,34620,3.98,3.87,3.9153,214,2019-04-16 04:00:00
154,3.87,3.77,62828,3.91,3.7,3.7758,494,2019-04-17 04:00:00
155,3.78,3.77,41916,3.88,3.76,3.796,269,2019-04-18 04:00:00
156,3.8,3.72,42215,3.98,3.71,3.7992,251,2019-04-22 04:00:00
157,3.72,3.92,109556,3.95,3.72,3.8515,517,2019-04-23 04:00:00
158,3.93,3.88,160556,4.05,3.79,3.9266,681,2019-04-24 04:00:00
159,3.85,3.78,55749,3.971,3.75,3.8124,389,2019-04-25 04:00:00
160,3.81,3.8,66566,3.91,3.73,3.7845,272,2019-04-26 04:00:00
161,3.82,4.03,36891,4.0599,3.82,3.9491,238,2019-04-29 04:00:00
162,4.03,4.14,99632,4.185,4.0104,4.1481,519,2019-04-30 04:00:00
163,4.16,4.14,42423,4.21,4.085,4.1508,417,2019-05-01 04:00:00
164,4.11,4.17,25385,4.21,4.11,4.1627,270,2019-05-02 04:00:00
165,4.22,4.25,70938,4.26,4.18,4.2316,349,2019-05-03 04:00:00
166,4.17,4.21,35168,4.3911,4.17,4.2536,226,2019-05-06 04:00:00
167,4.21,4.22,83706,4.2813,4.15,4.2142,471,2019-05-07 04:00:00
168,4.26,4.62,99497,4.6599,4.18,4.4239,484,2019-05-08 04:00:00
169,4.67,4.46,106596,4.67,4.1124,4.4489,469,2019-05-09 04:00:00
170,4.4,4.57,48452,4.58,4.35,4.5031,375,2019-05-10 04:00:00
171,4.64,4.45,69183,4.65,4.44,4.5327,351,2019-05-13 04:00:00
172,4.45,4.41,26085,4.5399,4.35,4.4177,200,2019-05-14 04:00:00
173,4.41,4.46,60958,4.5,4.21,4.374,359,2019-05-15 04:00:00
174,4.41,4.45,20632,4.5,4.4,4.4618,280,2019-05-16 04:00:00
175,4.42,4.32,83831,4.42,4.15,4.3019,440,2019-05-17 04:00:00
176,4.26,4.29,35020,4.31,4.05,4.1813,301,2019-05-20 04:00:00
177,4.35,4.35,49537,4.37,4.24,4.3027,224,2019-05-21 04:00:00
178,4.3,4.27,27926,4.355,4.24,4.2865,242,2019-05-22 04:00:00
179,4.2,4.13,31769,4.22,4.0715,4.1328,322,2019-05-23 04:00:00
180,4.0301,4.15,14206,4.19,4.0301,4.1168,111,2019-05-24 04:00:00
181,4.15,4.19,21453,4.22,4.11,4.1712,205,2019-05-28 04:00:00
182,4.17,4.14,45111,4.18,4.04,4.1071,502,2019-05-29 04:00:00
183,4.16,4.15,92747,4.3,4,4.1418,698,2019-05-30 04:00:00
184,4.07,4,34611,4.17,4,4.0335,364,2019-05-31 04:00:00
185,4.01,3.95,46976,4.07,3.91,3.9821,272,2019-06-03 04:00:00
186,3.95,4,26020,4.03,3.9463,3.9903,205,2019-06-04 04:00:00
187,3.99,4.01,28704,4.0133,3.96,3.9986,365,2019-06-05 04:00:00
188,4.02,4.01,26397,4.05,3.93,4.0009,318,2019-06-06 04:00:00
189,4.02,3.79,105853,4.07,3.57,3.8131,661,2019-06-07 04:00:00
190,3.78,3.8,44585,3.8,3.76,3.7921,418,2019-06-10 04:00:00
191,3.8,3.8,54220,3.8,3.77,3.7941,562,2019-06-11 04:00:00
192,3.76,3.97,55393,4.03,3.56,3.8646,484,2019-06-12 04:00:00
193,4.03,4.02,21724,4.04,3.98,4.0078,250,2019-06-13 04:00:00
194,4.05,4.04,40302,4.07,3.99,4.0381,518,2019-06-14 04:00:00
195,4.07,4.04,30323,4.07,3.95,4.0116,297,2019-06-17 04:00:00
196,4.07,4.07,19668,4.07,3.99,4.0572,251,2019-06-18 04:00:00
197,4.05,4.08,34251,4.1,4.03,4.073,237,2019-06-19 04:00:00
198,4.05,3.93,47878,4.05,3.89,3.9633,318,2019-06-20 04:00:00
199,3.87,3.87,94497,3.92,3.6851,3.8617,464,2019-06-21 04:00:00
200,3.9,3.74,52880,3.91,3.74,3.8094,528,2019-06-24 04:00:00
201,3.831,3.77,36533,3.8499,3.72,3.7772,244,2019-06-25 04:00:00
202,3.8201,3.95,48304,3.99,3.8201,3.926,512,2019-06-26 04:00:00
203,3.94,3.96,32340,4.04,3.87,3.9521,284,2019-06-27 04:00:00
204,3.98,4.44,420592,4.5,3.96,4.4068,1257,2019-06-28 04:00:00
205,4.5,4.22,83563,4.5,4.07,4.2237,654,2019-07-01 04:00:00
206,4.25,4.11,24527,4.3499,4.035,4.0967,374,2019-07-02 04:00:00
207,4.15,4.11,13342,4.23,4.02,4.1136,224,2019-07-03 04:00:00
208,4.18,4.05,18790,4.18,4.04,4.0967,187,2019-07-05 04:00:00
209,4.06,4.09,17747,4.11,4.05,4.0838,166,2019-07-08 04:00:00
210,4.07,4.25,59491,4.26,4.07,4.1795,379,2019-07-09 04:00:00
211,4.3988,4.255,39449,4.3988,4.22,4.2807,263,2019-07-10 04:00:00
212,4.3,4.36,106258,4.39,4.3,4.3363,377,2019-07-11 04:00:00
213,4.33,4.1,75824,4.374,4.1,4.2276,565,2019-07-12 04:00:00
214,4.07,4.24,24592,4.26,4.07,4.188,334,2019-07-15 04:00:00
215,4.15,4.7,205886,4.78,4.15,4.6003,1101,2019-07-16 04:00:00
216,4.72,4.5,128932,4.7764,4.4504,4.5727,688,2019-07-17 04:00:00
217,4.51,4.6,21930,4.62,4.4655,4.551,433,2019-07-18 04:00:00
218,4.56,4.76,207727,4.8495,4.45,4.6727,728,2019-07-19 04:00:00
219,4.82,4.93,199217,5.06,4.78,4.9546,834,2019-07-22 04:00:00
220,4.9,4.84,83930,4.95,4.7601,4.8551,581,2019-07-23 04:00:00
221,4.93,5.06,136515,5.1,4.8831,5.0131,855,2019-07-24 04:00:00
222,5.14,5.01,244639,5.3725,5,5.1832,1297,2019-07-25 04:00:00
223,5.06,5.04,162463,5.24,4.82,5.0635,1043,2019-07-26 04:00:00
224,5.13,4.9,65476,5.13,4.9,4.9714,620,2019-07-29 04:00:00
225,4.85,4.99,60872,5.03,4.85,4.9824,531,2019-07-30 04:00:00
226,4.97,4.99,109978,5.1,4.92,5.0132,874,2019-07-31 04:00:00
227,5,4.75,149361,5.03,4.72,4.799,852,2019-08-01 04:00:00
228,4.75,4.91,53798,4.92,4.6234,4.7945,471,2019-08-02 04:00:00
229,4.82,4.76,114957,4.89,4.62,4.7246,648,2019-08-05 04:00:00
230,4.74,4.7,134310,4.82,4.64,4.7089,623,2019-08-06 04:00:00
231,4.65,4.5,87978,4.83,4.46,4.6196,591,2019-08-07 04:00:00
232,4.56,4.81,186478,4.93,4.42,4.7272,1008,2019-08-08 04:00:00
233,4.81,4.49,83566,4.89,4.46,4.6007,684,2019-08-09 04:00:00
234,4.43,4.17,141973,4.525,4.04,4.276,1009,2019-08-12 04:00:00
235,4.13,4.35,106992,4.75,4.13,4.4892,671,2019-08-13 04:00:00
236,4.32,4.19,58752,4.32,4.16,4.2334,366,2019-08-14 04:00:00
237,4.2,4.12,80231,4.24,4.05,4.137,458,2019-08-15 04:00:00
238,4.15,4.15,80041,4.24,4.1,4.1599,381,2019-08-16 04:00:00
239,4.22,4.04,143476,4.31,4,4.0787,705,2019-08-19 04:00:00
240,4.02,3.99,57300,4.0499,3.98,4.0056,403,2019-08-20 04:00:00
241,4.05,4.17,94278,4.19,3.9,4.0644,698,2019-08-21 04:00:00
242,4.17,3.86,167404,4.17,3.565,3.8112,1081,2019-08-22 04:00:00
243,3.87,3.77,65285,3.91,3.7,3.7921,466,2019-08-23 04:00:00
244,3.77,3.94,31267,3.94,3.72,3.8627,239,2019-08-26 04:00:00
245,4.04,3.74,86114,4.04,3.7,3.797,614,2019-08-27 04:00:00
246,3.7,4.06,172490,4.08,3.7,3.9439,356,2019-08-28 04:00:00
247,4.18,4.17,372969,4.39,4.15,4.2417,926,2019-08-29 04:00:00
248,4.18,4.1,17881,4.305,4.07,4.1578,233,2019-08-30 04:00:00
249,4.03,3.95,52401,4.14,3.92,4.0545,351,2019-09-03 04:00:00
250,3.95,3.66,212323,4.0602,3.62,3.7851,1103,2019-09-04 04:00:00
251,3.8,3.94,58564,3.97,3.7185,3.8708,570,2019-09-05 04:00:00
252,3.87,3.68,132680,3.95,3.62,3.7226,877,2019-09-06 04:00:00
253,3.72,3.76,87049,3.85,3.62,3.7223,551,2019-09-09 04:00:00
254,3.74,3.88,25343,3.91,3.66,3.8364,410,2019-09-10 04:00:00
255,3.9,4.17,98335,4.21,3.79,4.0095,1005,2019-09-11 04:00:00
256,3.7,3.6,2625245,3.75,3.6,3.6377,4256,2019-09-12 04:00:00
257,3.65,3.79,854438,3.82,3.65,3.7381,2452,2019-09-13 04:00:00
258,3.8,3.76,257860,3.8,3.7,3.7423,1308,2019-09-16 04:00:00
259,3.79,3.63,391955,3.8263,3.59,3.6993,1832,2019-09-17 04:00:00
260,3.65,3.65,196676,3.68,3.57,3.6188,1060,2019-09-18 04:00:00
261,3.66,3.56,202531,3.6907,3.5,3.5702,1073,2019-09-19 04:00:00
262,3.55,3.54,386249,3.58,3.48,3.5327,1484,2019-09-20 04:00:00
263,3.55,3.555,212787,3.59,3.49,3.5234,1215,2019-09-23 04:00:00
264,3.58,3.49,232774,3.59,3.435,3.5145,1203,2019-09-24 04:00:00
265,3.51,3.47,192617,3.51,3.43,3.4792,1024,2019-09-25 04:00:00
266,3.47,3.39,117369,3.5,3.37,3.41,659,2019-09-26 04:00:00
267,3.41,3.35,207013,3.41,3.29,3.3389,1021,2019-09-27 04:00:00
268,3.39,3.475,195600,3.54,3.36,3.4812,1162,2019-09-30 04:00:00
269,3.48,3.34,123564,3.54,3.3,3.416,960,2019-10-01 04:00:00
270,3.31,3.26,238587,3.35,3.16,3.239,1051,2019-10-02 04:00:00
271,3.27,3.17,267747,3.3055,3.06,3.1307,1545,2019-10-03 04:00:00
272,3.19,3.28,317723,3.3018,3.16,3.239,1206,2019-10-04 04:00:00
273,3.32,3.23,120214,3.35,3.155,3.2212,704,2019-10-07 04:00:00
274,3.19,3.185,148304,3.2399,3.15,3.1815,749,2019-10-08 04:00:00
275,3.17,3.22,122720,3.24,3.15,3.1871,600,2019-10-09 04:00:00
276,3.24,3.22,191599,3.24,3.18,3.2146,628,2019-10-10 04:00:00
277,3.21,3.23,143715,3.25,3.21,3.2419,683,2019-10-11 04:00:00
278,3.25,3.24,208435,3.34,3.2,3.2476,1007,2019-10-14 04:00:00
279,3.23,3.17,259785,3.24,3.1,3.169,1197,2019-10-15 04:00:00
280,3.21,3.23,243784,3.27,3.179,3.2085,1042,2019-10-16 04:00:00
281,3.26,3.22,126438,3.265,3.19,3.2315,741,2019-10-17 04:00:00
282,3.19,3.17,125682,3.27,3.1273,3.2016,662,2019-10-18 04:00:00
283,3.2,3.24,134717,3.25,3.16,3.2159,639,2019-10-21 04:00:00
284,3.23,3.22,68992,3.28,3.2013,3.2353,407,2019-10-22 04:00:00
285,3.24,3.32,256426,3.38,3.22,3.3131,667,2019-10-23 04:00:00
286,3.37,3.52,412551,3.55,3.37,3.4732,1750,2019-10-24 04:00:00
287,3.54,3.46,131340,3.5736,3.37,3.4677,701,2019-10-25 04:00:00
288,3.55,3.53,229169,3.5809,3.46,3.5157,1478,2019-10-28 04:00:00
289,3.53,3.55,155215,3.55,3.445,3.5043,1180,2019-10-29 04:00:00
290,3.58,3.55,96550,3.58,3.44,3.5049,657,2019-10-30 04:00:00
291,3.53,3.52,118148,3.53,3.43,3.4866,943,2019-10-31 04:00:00
292,3.5,3.6,128567,3.65,3.49,3.5948,728,2019-11-01 04:00:00
293,3.62,3.65,248245,3.68,3.53,3.6383,1458,2019-11-04 05:00:00
294,3.68,3.56,154069,3.7,3.55,3.5965,863,2019-11-05 05:00:00
295,3.56,3.7,230667,3.73,3.4701,3.6365,1535,2019-11-06 05:00:00
296,3.74,3.98,666381,4.0811,3.698,3.8851,3365,2019-11-07 05:00:00
297,4.01,3.95,268065,4.07,3.9,3.9919,1410,2019-11-08 05:00:00
298,3.99,4.05,167860,4.13,3.96,4.0516,1169,2019-11-11 05:00:00
299,4.1,3.94,186114,4.1,3.83,3.9557,1192,2019-11-12 05:00:00
300,3.94,3.8,173768,3.98,3.8,3.871,1304,2019-11-13 05:00:00
301,3.81,3.83,159471,3.95,3.8,3.8564,1062,2019-11-14 05:00:00
302,3.85,3.85,272545,3.93,3.78,3.8351,1435,2019-11-15 05:00:00
303,3.85,3.83,105342,3.85,3.77,3.8201,596,2019-11-18 05:00:00
304,3.81,4.01,354506,4.1,3.77,3.9197,2035,2019-11-19 05:00:00
305,4.02,4.21,1236459,4.4373,3.828,4.2343,4628,2019-11-20 05:00:00
306,4.49,4.57,582758,4.6,4.3,4.4716,3070,2019-11-21 05:00:00
307,4.6,4.47,572496,4.89,4.45,4.6127,2964,2019-11-22 05:00:00
308,4.5,4.68,682169,4.89,4.5,4.7192,4383,2019-11-25 05:00:00
309,4.67,4.85,434711,4.9,4.63,4.7931,2994,2019-11-26 05:00:00
310,4.94,4.95,515375,5.13,4.88,4.9993,2638,2019-11-27 05:00:00
311,4.88,4.85,215459,4.94,4.66,4.8152,1123,2019-11-29 05:00:00
312,4.81,4.76,289105,4.89,4.71,4.7644,1842,2019-12-02 05:00:00
313,4.7,4.64,389821,4.7,4.45,4.6078,2011,2019-12-03 05:00:00
314,4.66,4.58,319364,4.7024,4.5,4.5583,2219,2019-12-04 05:00:00
315,4.59,4.45,344494,4.6998,4.42,4.5333,2651,2019-12-05 05:00:00
316,4.5,4.71,299786,4.75,4.4876,4.6418,2395,2019-12-06 05:00:00
317,4.74,4.97,701646,5,4.61,4.8345,3185,2019-12-09 05:00:00
318,4.99,4.69,307391,4.99,4.64,4.7861,1958,2019-12-10 05:00:00
319,4.68,4.6,244811,4.7139,4.51,4.5875,1497,2019-12-11 05:00:00
320,4.6,4.57,215353,4.6083,4.47,4.5436,1359,2019-12-12 05:00:00
321,4.59,4.51,177839,4.59,4.39,4.4814,1282,2019-12-13 05:00:00
322,4.58,4.44,257852,4.58,4.385,4.4665,2350,2019-12-16 05:00:00
323,4.44,4.42,228203,4.51,4.31,4.3996,1698,2019-12-17 05:00:00
324,4.44,4.3,305030,4.455,4.16,4.2741,2356,2019-12-18 05:00:00
325,4.29,4.36,305149,4.47,4.21,4.364,1866,2019-12-19 05:00:00
326,4.37,4.3,708887,4.469,4.26,4.3143,2833,2019-12-20 05:00:00
327,4.31,4.58,372260,4.64,4.27,4.5253,3102,2019-12-23 05:00:00
328,4.6,4.6,243069,4.71,4.3,4.5327,996,2019-12-24 05:00:00
329,4.59,4.64,219641,4.74,4.5612,4.6426,1581,2019-12-26 05:00:00
330,4.68,4.73,207730,4.75,4.64,4.7094,1378,2019-12-27 05:00:00
331,4.72,4.85,236848,4.88,4.67,4.8107,1918,2019-12-30 05:00:00
332,4.87,4.83,380535,4.87,4.69,4.784,2643,2019-12-31 05:00:00
333,4.83,4.75,250489,4.87,4.71,4.7569,1603,2020-01-02 05:00:00
334,4.7,4.65,291966,4.7,4.53,4.6155,1799,2020-01-03 05:00:00
335,4.58,4.52,268225,4.66,4.49,4.5679,1573,2020-01-06 05:00:00
336,4.5,4.255,1183316,4.5,4.11,4.2648,6767,2020-01-07 05:00:00
