PEP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
78,107.77,109.42,5175858,109.47,106.03,108.2031,40549,2018-12-27 05:00:00
79,110.09,110.36,5410371,111.1,109.22,110.1603,45475,2018-12-28 05:00:00
80,110.58,110.48,5002673,111.09,109.32,110.1824,38569,2018-12-31 05:00:00
81,109.15,109.28,4835357,110.0197,108.23,109.1423,39250,2019-01-02 05:00:00
82,108.91,108.26,5975925,110.15,108.05,108.7382,49105,2019-01-03 05:00:00
83,109.54,110.48,6293898,110.6,108.24,109.9308,48211,2019-01-04 05:00:00
84,110.01,109.53,5220490,110.38,108.65,109.6138,44033,2019-01-07 05:00:00
85,110.14,110.58,6407745,110.8,109.42,110.2892,48975,2019-01-08 05:00:00
86,110.33,107.49,8521291,110.87,107.49,108.0204,67227,2019-01-09 05:00:00
87,107.41,108.15,7905010,108.34,107.3565,108.0242,53057,2019-01-10 05:00:00
88,107.86,108.16,5939031,108.5,107.64,108.0206,42051,2019-01-11 05:00:00
89,107.85,107.32,5804597,107.96,106.96,107.4313,43972,2019-01-14 05:00:00
90,107.46,108.99,4508119,109.07,106.73,108.5493,43734,2019-01-15 05:00:00
91,108.99,108.34,4953505,109.05,107.7,108.294,41703,2019-01-16 05:00:00
92,108.14,109.22,4612249,109.47,108.09,108.9988,34731,2019-01-17 05:00:00
93,109.97,110.07,5114734,110.295,109.17,109.9612,35913,2019-01-18 05:00:00
94,109.86,109.91,5298239,110.23,108.78,109.5417,43961,2019-01-22 05:00:00
95,109.68,110.73,5197388,110.79,109.51,110.2438,44429,2019-01-23 05:00:00
96,110.31,109.5,4477466,110.31,108.41,109.342,36972,2019-01-24 05:00:00
97,110.15,109.35,5071205,110.59,109.04,109.5826,44877,2019-01-25 05:00:00
98,108.96,108.82,4055919,109.6,108,108.5804,42405,2019-01-28 05:00:00
99,108.93,109,4301528,109.62,108.51,108.9395,36466,2019-01-29 05:00:00
100,108.94,110.82,5023824,111.24,108.54,110.4443,45439,2019-01-30 05:00:00
101,110.97,112.67,6183408,112.9,110.21,112.162,45140,2019-01-31 05:00:00
102,112.95,112.19,5010479,113.28,111.45,112.1074,37029,2019-02-01 05:00:00
103,112.21,113.09,3664960,113.4,111.85,112.873,30953,2019-02-04 05:00:00
104,113.03,112.9,4593360,113.54,112.49,112.9847,35834,2019-02-05 05:00:00
105,113.41,113.05,4209394,113.58,112.3,112.9378,33980,2019-02-06 05:00:00
106,112.82,113.09,4227677,113.16,112.16,112.8052,33896,2019-02-07 05:00:00
107,112.93,113.015,3868255,113.04,111.93,112.4998,33775,2019-02-08 05:00:00
108,113.16,112.97,4851068,113.58,112.6443,112.9841,31504,2019-02-11 05:00:00
109,113.23,113.79,6765311,114.5,112.22,113.5705,49544,2019-02-12 05:00:00
110,114.11,114.12,5528030,114.73,113.63,113.9803,43898,2019-02-13 05:00:00
