BTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
103,50089.64,46724.86,37768.5827163496,50234,45727.92,47599.4867,793473,2021-12-13
104,46727.89,48399,28430.209833091,48690,46300,47267.1006,666080,2021-12-14
105,48355.72,48884.78,35501.6112533498,49520,46530,48183.9852,716410,2021-12-15
106,48876.84,47634.22,21058.9660409804,49480,47506.21,48512.0807,518867,2021-12-16
107,47634.2,46166.5,30283.4087004233,48038,45469.32,46787.3481,628796,2021-12-17
108,46163,46857.5,14608.2453464194,47483,45501,46541.7418,421077,2021-12-18
109,46857.49,46687.19,18097.5423922083,48364,46440.11,47284.8738,437261,2021-12-19
110,46687.2,46925.09,26408.0946172644,47549.8,45568,46441.7582,573867,2021-12-20
111,46926.07,48914.7,25727.9258548039,49369,46645.05,48455.0011,509893,2021-12-21
112,48914.7,48608.62,17239.7486722298,49600,48449.87,48980.3353,418595,2021-12-22
113,48608.61,50839,25853.1335453769,51413.12295813,48032.16,49632.9438,523469,2021-12-23
114,50850,50851.38,18097.939677177,51878.6,50405,51093.3563,444229,2021-12-24
115,50857.42,50428.31,9586.64203032689,51179.36,50182,50800.651,341952,2021-12-25
116,50435.06967051,50801.79,11862.0251537778,51300,49427.9,50238.9764,388484,2021-12-26
117,50804.33,50717.77,17848.0148316944,52111,50479.44,51224.1607,466351,2021-12-27
118,50720.35,47548.1,34285.1199161177,50720.35,47300,48784.5907,678095,2021-12-28
119,47556,46471.24,28886.9312211947,48166,46079,47400.2696,531231,2021-12-29
120,46464,47122.08,34702.5884199372,47926.15,45930.1,47120.7322,561729,2021-12-30
121,47148,46211.24,28175.3999622539,48650,45530.3,47083.4481,712843,2021-12-31
122,46211.24,47733.43,14516.2081100533,47967.12,46150,47107.5183,465519,2022-01-01
